
1408380327,Radio,175,2437,1152,Beacn,3c:77:e6:a3:02:df,DDW36503

1408380327,Radio,169,2437,1152,Data,01:80:c2:00:00:00,08:86:3b:72:e8:3e

1408380328,Radio,169,2437,1152,Data,10:f9:6f:b5:23:b5,00:1e:e5:7c:57:a1

1408380328,Radio,198,2437,1152,Beacn,ec:1a:59:0a:ff:58,belkin.f58

1408380328,Radio,205,2437,1152,Data,60:03:08:93:6b:ba,ec:1a:59:0a:ff:58

1408380329,Radio,165,2437,1152,Data,01:80:c2:00:00:00,08:86:3b:72:e8:3e

1408380329,Radio,173,2437,1152,Beacn,9c:2a:70:2f:d8:e4,TEMS-NMS2

1408380329,Radio,200,2437,1152,Beacn,ec:1a:59:0a:ff:58,belkin.f58

1408380330,Radio,164,2437,1152,Data,ff:ff:ff:ff:ff:ff,84:1b:5e:d6:0e:57

1408380331,Radio,168,2437,1152,Data,01:80:c2:00:00:00,08:86:3b:72:e8:3e

1408380331,Radio,193,2437,1152,Probe,0c:2a:69:07:69:bd,papychulo

1408380331,Radio,192,2437,1152,Probe,0c:2a:69:07:69:bd,papychulo

1408380331,Radio,195,2437,1152,Probe,0c:2a:69:07:69:bd,papychulo

1408380331,Radio,202,2437,1152,Beacn,ec:1a:59:0a:ff:58,belkin.f58

1408380331,Radio,206,2437,1152,Data,60:03:08:93:6b:ba,ec:1a:59:0a:ff:58

1408380331,Radio,200,2437,1152,Probe,0c:2a:69:07:69:bd,papychulo

1408380333,Radio,170,2437,1152,Data,10:f9:6f:b5:23:b5,00:1e:e5:7c:57:a1

1408380333,Radio,168,2437,1152,Data,01:80:c2:00:00:00,08:86:3b:72:e8:3e

1408380333,Radio,202,2437,1152,Beacn,ec:1a:59:0a:ff:58,belkin.f58

1408380333,Radio,207,2437,1152,Data,60:03:08:93:6b:ba,ec:1a:59:0a:ff:58

1408380333,Radio,207,2437,1152,Data,60:03:08:93:6b:ba,ec:1a:59:0a:ff:58

1408380333,Radio,207,2437,1152,Data,60:03:08:93:6b:ba,ec:1a:59:0a:ff:58

1408380333,Radio,207,2437,1152,Data,60:03:08:93:6b:ba,ec:1a:59:0a:ff:58

1408380333,Radio,207,2437,1152,Data,60:03:08:93:6b:ba,ec:1a:59:0a:ff:58

